item	path_or_value	audit_value	caveat
matrix_source	/moosefs/guarracino/HPRCv2/PHR_III/similarity/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	41 rows x 41 columns	The source diagonal is retained for display; as.dist ignores it for clustering.
tree_order_source	computed in this script from the matrix using hclust(as.dist(D), method = 'average')	UPGMA leaf order defines rows and columns in 07a_tree_ordered_heatmap	This is UPGMA average linkage, not an NJ tree.
community_mapping_source	/moosefs/guarracino/HPRCv2/PHR_III/similarity/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv	41 assigned arms across 15 observed communities	Community labels are arm-level Leiden C1-C15 labels; no sequence-level community IDs are used.
architecture_table_source	paper_prep/figures/fig1/architecture_per_arm.tsv	41 rows; architecture categories joined only for audit	Architecture categories do not determine heatmap order.
chm13_phr_bed_source	chm13.phrs.bed	37 inferred arm intervals across 37 distinct arms	BED rows do not include arm labels; p/q is inferred from CHM13 chromosome midpoint using chrom.sizes when available.
projected_chm13_interval_source	/moosefs/guarracino/HPRCv2/PHR_III/all-vs-all.1Mb.p95.id95.len.tsv	46 CHM13#0 arm rows with 38 non-empty projected interval arms	Projected rows are included only to avoid implying that every community-assigned arm has a repo-root CHM13 BED call.
prior_crisp_renderer	slides/v2-review-zoom/_revision_assets/v3/07a_crisp_aligned/make_07a_crisp_aligned.R	v5 reuses the vector-first grid/tree geometry pattern from v3	Prior v3 output is not copied; this script regenerates both v5 views.
community_order	C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15	Leiden C1..C15 numeric order, then UPGMA position within community	If a community were absent from the matrix it would be absent here; observed set is all C1-C15.
display_scale	Jaccard similarity = 1 - distance; limits clipped to [0, 1]; same palette in both v5 assets	Both PDF assets are vector scenes; PNG assets are direct 4800x2700 renders	Cell color encodes similarity, not community.
label_size_policy	Chromosome arm labels are enlarged about 1.5x versus the v3/current baseline: tree view row/column labels 8.9/8.6 pt; community view row/column labels 8.6/8.3 pt.	Applies to both x-axis and y-axis arm labels in both rendered assets	Only label size changed for readability; p/q label colors remain red/blue.
color_scale_policy	colorRampPalette(c('#F8FBFF', '#FEE08B', '#F46D43', '#A50026')) with fixed [0,1] breaks	Palette, similarity transform, and legend limits are identical in both rendered assets	Community bands use separate categorical colors and do not alter heatmap cell colors.
